STATNAME,TOTPOPULAT,SCHTOT,ENRTOT,TCHTOT,STR
A & N Islands,379944.0,410,50113,5346,9.373924429479985
Andhra Pradesh,49378776.0,60435,5611310,276900,20.264752618273747
Arunachal Pradesh,1382611.0,4012,322458,21584,14.939677538917717
Assam,31169272.0,65894,5432053,302001,17.98687090440098
Bihar,103804637.0,80166,23431785,467877,50.08107900153245
Chandigarh,1054686.0,201,157921,9309,16.964335589214738
Chhattisgarh,25144810.0,50705,4457355,214727,20.75824186059508
Dadra & Nagar Haveli,342853.0,323,58974,2411,24.460389879717958
Daman & Diu,242911.0,120,27978,1163,24.056749785038694
Delhi,16753235.0,5751,3007010,138849,21.6566918018855
Goa,1457723.0,1462,196309,11382,17.24732033034616
Gujarat,60383628.0,44051,9090714,325031,27.96875990290157
Haryana,25353081.0,22268,3730944,204970,18.202390593745427
Himachal Pradesh,6856509.0,18024,950766,94865,10.022305381331366
Jammu & Kashmir,12548926.0,28578,1856776,157847,11.763137721971276
Jharkhand,32966238.0,47441,6522068,181866,35.86194230917269
Karnataka,61130704.0,61739,8340373,312662,26.67536509073696
Kerala,33387677.0,16458,4012416,243885,16.452081923857556
Lakshadweep,64429.0,41,7576,888,8.531531531531531
Madhya Pradesh,72597565.0,142587,12801969,528609,24.21821989409942
Maharashtra,112372972.0,98213,16043775,666338,24.07753272363275
Manipur,2721756.0,4865,502596,38936,12.908259708239163
Meghalaya,2964007.0,13277,775613,44148,17.568474223067863
Mizoram,1091014.0,3072,214317,18482,11.595985282978033
Nagaland,1980602.0,2799,349696,30320,11.533509234828497
Odisha,38844616.0,68978,6328084,314988,20.089920885875017
Puducherry,1244464.0,719,169462,12128,13.972790237467018
Punjab,27704236.0,28776,3962439,250470,15.8200143729788
Rajasthan,68621012.0,107931,12340135,656083,18.808801630281536
Sikkim,607688.0,1279,105297,15077,6.98394906148438
Tamil Nadu,68915255.0,57539,9236192,557801,16.558220584043415
Telangana,35286757.0,40818,5005185,229268,21.831153933388
Tripura,3671032.0,4844,569512,46613,12.217879132430866
Uttar Pradesh,199581477.0,245919,36425633,1018912,35.749537742219154
Uttarakhand,10116752.0,23660,1712673,109374,15.658867738219321
West Bengal,91857445.0,95723,12909034,565646,22.82175424205245
